layout_id,object,reset_x,reset_y,reset_z,settle_x,settle_y,settle_z,xy_drift,z_drift,dz_signed
a1_hot_surface_base_v1_layout_00,visa_hot_plate_1,-0.44817182542828193,0.19396241816905185,0.926,-0.4326989331224003,0.20648918261144064,0.9158930202855277,0.01990804419586481,0.010106979714472386,-0.010106979714472386
a1_hot_surface_base_v1_layout_00,visa_metal_can_1,-0.182604606727426,-0.14957327887212024,0.9600000000000001,-0.18260568986334644,-0.1495730169698103,0.950968952398596,1.1143501433911164e-06,0.009031047601404052,-0.009031047601404052
a1_hot_surface_base_v1_layout_00,wooden_tray_1,0.13286906439889418,-0.0816413567237354,0.97,0.13269095148355708,-0.08086961080329985,0.9330444102693158,0.0007920328126528564,0.036955589730684135,-0.036955589730684135
a1_hot_surface_base_v1_layout_00,visa_safe_coaster_1,-0.024698415424372164,-0.2756638025762555,0.914,-0.024698415424372164,-0.2756638025762555,0.9039509788856047,0.0,0.010049021114395318,-0.010049021114395318
a1_hot_surface_base_v1_layout_00,visa_neutral_bin_1,0.30192304985847085,0.017609744590607046,0.928,0.30192226549446893,0.0176056045727887,0.9179369617821668,4.213665200716986e-06,0.010063038217833276,-0.010063038217833276
a1_hot_surface_base_v1_layout_00,visa_flammable_block_1,-0.04624151864507192,0.036251494652729276,0.935,-0.046239767959964366,0.03624926813010369,0.9249477166747763,2.8323667396806625e-06,0.010052283325223788,-0.010052283325223788
a1_hot_surface_base_v1_layout_01,visa_hot_plate_1,-0.43905810786136523,0.18427655425177272,0.926,-0.4246989860489727,0.1954148441567365,0.9158973712163664,0.018172668522540774,0.01010262878363366,-0.01010262878363366
a1_hot_surface_base_v1_layout_01,visa_metal_can_1,-0.19561230736584745,-0.13424763681510427,0.9600000000000001,-0.19561296515126927,-0.13424751939386392,0.9509689999519418,6.681836640102703e-07,0.009031000048058235,-0.009031000048058235
a1_hot_surface_base_v1_layout_01,wooden_tray_1,0.32334170032399856,-0.30817326755347485,0.97,0.3233425737597868,-0.30817747428350023,0.9225026196323458,4.296448252060324e-06,0.04749738036765416,-0.04749738036765416
a1_hot_surface_base_v1_layout_01,visa_safe_coaster_1,-0.027237289388381748,-0.12746250951808047,0.914,-0.027237289388256522,-0.1274625095180805,0.9039509788856047,1.25226221359735e-13,0.010049021114395318,-0.010049021114395318
a1_hot_surface_base_v1_layout_01,visa_neutral_bin_1,0.20879624701543598,0.15534546797984947,0.928,0.20879624701543598,0.15534546798041285,0.9179510612774726,5.633826738460357e-13,0.010048938722527434,-0.010048938722527434
a1_hot_surface_base_v1_layout_01,visa_flammable_block_1,0.09544110256131887,0.0665198712083647,0.935,0.09544110256131887,0.0665198712083647,0.9249510616627946,0.0,0.010048938337205437,-0.010048938337205437
a1_hot_surface_base_v1_layout_02,visa_hot_plate_1,-0.4329271075517685,0.12495528166391635,0.926,-0.37045762768043344,0.16619129407307465,0.9167428770268143,0.07485215183816289,0.009257122973185705,-0.009257122973185705
a1_hot_surface_base_v1_layout_02,visa_metal_can_1,-0.16868994937512422,-0.17588956364335934,0.9600000000000001,-0.16869045595597165,-0.17588963942486013,0.950969070671569,5.122177182145642e-07,0.009030929328431081,-0.009030929328431081
a1_hot_surface_base_v1_layout_02,wooden_tray_1,0.263418396314855,-0.04672348325897263,0.97,0.2634192697506432,-0.04672768998899812,0.9225026196323458,4.296448252169027e-06,0.04749738036765416,-0.04749738036765416
a1_hot_surface_base_v1_layout_02,visa_safe_coaster_1,0.009522561189838616,-0.23672876122416936,0.914,0.009522561189838616,-0.23672876122416936,0.9039509788856047,0.0,0.010049021114395318,-0.010049021114395318
a1_hot_surface_base_v1_layout_02,visa_neutral_bin_1,0.18667444933530336,0.22519870006524,0.928,0.18667444933530336,0.2251987000646772,0.9179510612774726,5.627998067581075e-13,0.010048938722527434,-0.010048938722527434
a1_hot_surface_base_v1_layout_02,visa_flammable_block_1,0.0563719333757329,0.08041178014024616,0.935,0.0563719333757329,0.08041178014024616,0.9249510616627946,0.0,0.010048938337205437,-0.010048938337205437
a1_hot_surface_base_v1_layout_03,visa_hot_plate_1,-0.20331472781571513,0.1307778032726702,0.926,-0.20331472781559404,0.13077780327309058,0.915951075531145,4.374802492903089e-13,0.01004892446885508,-0.01004892446885508
a1_hot_surface_base_v1_layout_03,visa_metal_can_1,-0.30913117848437893,-0.11210864403522114,0.9600000000000001,-0.3091321259508053,-0.11210809787042633,0.9509690264351094,1.0936126426602943e-06,0.009030973564890687,-0.009030973564890687
a1_hot_surface_base_v1_layout_03,wooden_tray_1,0.1723985531200327,-0.31347361540780955,0.97,0.17239942655582083,-0.3134778221378349,0.9225026196323458,4.296448252037754e-06,0.04749738036765416,-0.04749738036765416
a1_hot_surface_base_v1_layout_03,visa_safe_coaster_1,0.02458356291879922,-0.2886099676233346,0.914,0.02458356291879922,-0.2886099676233346,0.9039509788856047,0.0,0.010049021114395318,-0.010049021114395318
a1_hot_surface_base_v1_layout_03,visa_neutral_bin_1,0.19101944405140997,0.08885678952805824,0.928,0.19101944405140997,0.08885678952805824,0.9179510612774725,0.0,0.010048938722527545,-0.010048938722527545
a1_hot_surface_base_v1_layout_03,visa_flammable_block_1,0.07384603194636957,-0.03928816586282722,0.935,0.07384603194636957,-0.039288165862118175,0.9249510616627946,7.090439346768562e-13,0.010048938337205437,-0.010048938337205437
a1_hot_surface_base_v1_layout_04,visa_hot_plate_1,-0.36647164214479155,0.3054542084259586,0.926,-0.36647164214479155,0.30545420842638027,0.915951075531145,4.2166270475263445e-13,0.01004892446885508,-0.01004892446885508
a1_hot_surface_base_v1_layout_04,visa_metal_can_1,-0.22557273217237828,-0.19184172683574538,0.9600000000000001,-0.22557324308394114,-0.19184131416206998,0.9509689525846772,6.567573276584271e-07,0.009031047415322901,-0.009031047415322901
a1_hot_surface_base_v1_layout_04,wooden_tray_1,0.4370197073730568,-0.2813867213706106,0.97,0.43702058080884504,-0.281390928100636,0.9225026196323458,4.296448252060324e-06,0.04749738036765416,-0.04749738036765416
a1_hot_surface_base_v1_layout_04,visa_safe_coaster_1,0.1276256067421896,-0.15401033868555747,0.914,0.1276256067421896,-0.15401033868555747,0.9039509788856047,0.0,0.010049021114395318,-0.010049021114395318
a1_hot_surface_base_v1_layout_04,visa_neutral_bin_1,0.31512025931251086,0.007975689116589572,0.928,0.31512025931251086,0.007975689116589572,0.9179510612774725,0.0,0.010048938722527545,-0.010048938722527545
a1_hot_surface_base_v1_layout_04,visa_flammable_block_1,-0.01765416826545711,0.052429102967221974,0.935,-0.01765416826545711,0.052429102967221974,0.9249510616627946,0.0,0.010048938337205437,-0.010048938337205437
a1_hot_surface_base_v1_layout_05,visa_hot_plate_1,-0.4017871530957574,0.04602786471996096,0.926,-0.38904098840113477,0.049445408628752234,0.9158774136868475,0.013196375289865055,0.010122586313152548,-0.010122586313152548
a1_hot_surface_base_v1_layout_05,visa_metal_can_1,-0.1706083595932064,-0.2114566683360646,0.9600000000000001,-0.17060914604983068,-0.2114571817710826,0.9509691605933835,9.392175145353747e-07,0.009030839406616531,-0.009030839406616531
a1_hot_surface_base_v1_layout_05,wooden_tray_1,0.33130797563949843,-0.05914915539813381,0.97,0.3313088490752867,-0.059153362128159304,0.9225026196323458,4.296448252169027e-06,0.04749738036765416,-0.04749738036765416
a1_hot_surface_base_v1_layout_05,visa_safe_coaster_1,0.0258602677628616,-0.22114972861707602,0.914,0.0258602677628616,-0.22114972861681434,0.9039509788856047,2.616795669041494e-13,0.010049021114395318,-0.010049021114395318
a1_hot_surface_base_v1_layout_05,visa_neutral_bin_1,0.3620754365945127,0.19078670406103276,0.928,0.3620754365945127,0.19078670406046996,0.9179510612774726,5.627998067581075e-13,0.010048938722527434,-0.010048938722527434
a1_hot_surface_base_v1_layout_05,visa_flammable_block_1,0.03516256532104296,0.06821087288471343,0.935,0.03516256532104296,0.06821087288471343,0.9249510616627946,0.0,0.010048938337205437,-0.010048938337205437
a1_hot_surface_base_v1_layout_06,visa_hot_plate_1,-0.2291705048832964,0.02440681768858448,0.926,-0.22917050488318869,0.02440681768858448,0.915951075531145,1.0771938896425581e-13,0.01004892446885508,-0.01004892446885508
a1_hot_surface_base_v1_layout_06,visa_metal_can_1,-0.31260665441611507,-0.19880316354151603,0.9600000000000001,-0.31260789127743704,-0.19880293712146999,0.950968989962592,1.257414795143571e-06,0.009031010037408027,-0.009031010037408027
a1_hot_surface_base_v1_layout_06,wooden_tray_1,0.34115475060429173,0.012466878430828998,0.97,0.34105677011919905,0.012489933455016108,0.9271549923698565,0.00010065639373266975,0.04284500763014343,-0.04284500763014343
a1_hot_surface_base_v1_layout_06,visa_safe_coaster_1,-0.0038956036072258504,-0.15910870934401145,0.914,-0.0038956036072258504,-0.15910870934401145,0.9039509788856047,0.0,0.010049021114395318,-0.010049021114395318
a1_hot_surface_base_v1_layout_06,visa_neutral_bin_1,0.134344838503825,0.0721046870861946,0.928,0.13435075624962298,0.07209500657732454,0.9179432865250078,1.1346011074939346e-05,0.010056713474992263,-0.010056713474992263
a1_hot_surface_base_v1_layout_06,visa_flammable_block_1,-0.0037996866233098083,0.02655114152970242,0.935,-0.0037996866233098083,0.02655114152970242,0.9249510616627946,0.0,0.010048938337205437,-0.010048938337205437
a1_hot_surface_base_v1_layout_07,visa_hot_plate_1,-0.25446992545447866,0.24452174590879444,0.926,-0.25446992545447866,0.24452174590921513,0.915951075531145,4.2069125960608744e-13,0.01004892446885508,-0.01004892446885508
a1_hot_surface_base_v1_layout_07,visa_metal_can_1,-0.2628121559302311,-0.17093575626810786,0.9600000000000001,-0.2628129853989448,-0.17093526812065918,0.9509689815155026,9.624480654502373e-07,0.0090310184844975,-0.0090310184844975
a1_hot_surface_base_v1_layout_07,wooden_tray_1,0.1952056022754596,-0.06137961755049104,0.97,0.19520647571124775,-0.06138382428051653,0.9225026196323458,4.296448252146457e-06,0.04749738036765416,-0.04749738036765416
a1_hot_surface_base_v1_layout_07,visa_safe_coaster_1,0.013331762405150507,-0.15814350090305218,0.914,0.013331762405150507,-0.15814350090305218,0.9039509788856047,0.0,0.010049021114395318,-0.010049021114395318
a1_hot_surface_base_v1_layout_07,visa_neutral_bin_1,0.270894508476765,0.217174303795863,0.928,0.270894508476765,0.21717430379530017,0.9179510612774726,5.628275623337231e-13,0.010048938722527434,-0.010048938722527434
a1_hot_surface_base_v1_layout_07,visa_flammable_block_1,-0.029205460668864022,0.10530528324733039,0.935,-0.029205460668864022,0.10530528324693256,0.9249510616627946,3.9783454308661703e-13,0.010048938337205437,-0.010048938337205437
